ID,mom,Momparasite,Past,Metsch,death_date,Notes,babies1,babies2,babies3,babies4,babies5,babies6,babies7,babies8,babies9,babies10,babies11,babies12,babies13,babies14,babies15,babies16,babies17,babies18,babies19,babies20
101,196,none,,Young,04/27/2024,,2,4,4,1,1,4,11,9,9,11,9,1,3,7,6,11,10,7,,
102,139,none,,Young,03/13/2024,,4,6,4,2,,,,,,,,,,,,,,,,
103,151,none,,Young,04/25/2024,,4,4,5,4,6,11,8,7,6,9,6,5,15,13,8,9,,,,
104,138,none,,Young,04/25/2024,,2,4,4,4,4,13,14,9,10,9,3,2,4,12,14,13,5,7,,
105,146,none,,Young,03/13/2024,,1,6,3,2,,,,,,,,,,,,,,,,
106,155,none,,Young,03/15/2024,,2,5,2,5,,,,,,,,,,,,,,,,
107,142,none,,Young,04/24/2024,,2,5,4,5,3,4,7,15,10,11,11,10,3,9,14,5,6,,,
108,121,none,,Young,04/22/2024,,2,5,4,6,7,7,6,7,10,1,15,8,2,7,7,13,4,,,
109,133,none,,Young,04/22/2024,,4,5,5,5,1,3,10,3,8,15,8,15,9,2,,,,,,
110,147,none,,Young,04/25/2024,,4,6,3,3,5,2,2,9,9,11,2,9,8,1,8,14,13,5,6,
111,,none,,Young,,,11,,,,,,,,,,,,,,,,,,,
112,,none,,Young,,,,,,,,,,,,,,,,,,,,,,
113,,none,,Young,,,,,,,,,,,,,,,,,,,,,,
114,,none,,Young,,,,,,,,,,,,,,,,,,,,,,
115,,none,,Young,,,,,,,,,,,,,,,,,,,,,,
116,,none,,Young,,,,,,,,,,,,,,,,,,,,,,
117,131,none,,Old,03/17/2024,,1,4,2,3,1,1,,,,,,,,,,,,,,
118,148,none,,Old,,CENS 4/27/24,3,1,4,3,3,12,1,1,6,7,8,10,9,1,9,,,,,
119,139,none,,Old,03/18/2024,,1,4,3,1,,,,,,,,,,,,,,,,
120,151,none,,Old,03/17/2024,,1,4,2,6,6,,,,,,,,,,,,,,,
121,138,none,,Old,04/22/2024,,1,4,2,3,4,4,10,4,4,12,10,7,2,6,1,5,5,,,
122,146,none,,Old,03/16/2024,,1,4,1,3,2,,,,,,,,,,,,,,,
123,155,none,,Old,03/16/2024,,1,4,2,5,2,,,,,,,,,,,,,,,
124,142,none,,Old,03/14/2024,,2,6,2,2,,,,,,,,,,,,,,,,
125,121,none,,Old,03/29/2024,,5,6,4,6,4,5,,,,,,,,,,,,,,
126,133,none,,Old,04/12/2024,,1,3,5,2,3,9,2,11,3,9,4,1,,,,,,,,
127,,none,,Old,,,,,,,,,,,,,,,,,,,,,,
128,,none,,Old,,,,,,,,,,,,,,,,,,,,,,
129,,none,,Old,,,,,,,,,,,,,,,,,,,,,,
130,,none,,Old,,,,,,,,,,,,,,,,,,,,,,
131,,none,,Old,,,,,,,,,,,,,,,,,,,,,,
132,,none,,Old,,,,,,,,,,,,,,,,,,,,,,
133,131,none,Young,,03/23/2024,,2,,,,,,,,,,,,,,,,,,,
134,148,none,Young,,04/25/2024,,1,1,5,7,7,10,11,11,13,10,8,4,5,2,10,7,,,,
135,139,none,Young,,04/22/2025,,3,4,5,6,7,21,9,12,14,6,3,3,8,,,,,,,
136,151,none,Young,,04/09/2024,,2,3,13,,,,,,,,,,,,,,,,,
137,146,none,Young,,03/19/2024,,4,,,,,,,,,,,,,,,,,,,
138,155,none,Young,,03/14/2024,,3,,,,,,,,,,,,,,,,,,,
139,142,none,Young,,03/19/2024,,1,,,,,,,,,,,,,,,,,,,
140,103,none,Young,,,missing/dead 4/25/25,4,2,6,6,7,9,6,8,12,2,9,6,9,,,,,,,
141,159,none,Young,,03/20/2024,,4,,,,,,,,,,,,,,,,,,,
142,101,none,Young,,04/01/2024,,1,3,,,,,,,,,,,,,,,,,,
143,,none,Young,,,,,,,,,,,,,,,,,,,,,,,
144,,none,Young,,,,,,,,,,,,,,,,,,,,,,,
145,,none,Young,,,,,,,,,,,,,,,,,,,,,,,
146,,none,Young,,,,,,,,,,,,,,,,,,,,,,,
147,,none,Young,,,,,,,,,,,,,,,,,,,,,,,
148,,none,Young,,,,,,,,,,,,,,,,,,,,,,,
149,139,none,Old,,04/18/2024,,0,4,2,2,3,3,12,5,5,4,5,7,18,8,14,13,,,,
150,135,none,Old,,,CENS 4/27/24,0,4,2,4,17,6,8,12,4,4,9,18,,,,,,,,
151,143,none,Old,,,CENS 4/27/24,1,3,4,2,1,9,7,4,5,6,7,7,14,17,7,10,1,,,
152,152,none,Old,,03/24/2024,,0,1,3,1,,,,,,,,,,,,,,,,
153,150,none,Old,,,CENS 4/27/24,2,3,1,5,12,1,5,4,5,5,13,15,12,11,13,11,9,2,,
154,175,none,Old,,03/26/2024,,1,4,1,2,2,10,8,6,,,,,,,,,,,,
155,156,none,Old,,04/27/2024,,2,7,8,3,3,7,9,6,9,8,13,26,11,14,10,,,,,
156,172,none,Old,,04/09/2024,,1,5,2,7,,,,,,,,,,,,,,,,
157,153,none,Old,,04/07/2024,,3,0,2,6,,,,,,,,,,,,,,,,
158,147,none,Old,,04/07/2024,,2,4,1,4,4,6,11,,,,,,,,,,,,,
159,,none,Old,,,,,,,,,,,,,,,,,,,,,,,
160,,none,Old,,,,,,,,,,,,,,,,,,,,,,,
161,,none,Old,,,,,,,,,,,,,,,,,,,,,,,
162,,none,Old,,,,,,,,,,,,,,,,,,,,,,,
163,,none,Old,,,,,,,,,,,,,,,,,,,,,,,
164,,none,Old,,,,,,,,,,,,,,,,,,,,,,,
165,180,none,Young,Young,03/12/2024,,3,,,,,,,,,,,,,,,,,,,
166,135,none,Young,Young,04/05/2024,,1,,,,,,,,,,,,,,,,,,,
167,143,none,Young,Young,03/09/2024,,2,,,,,,,,,,,,,,,,,,,
168,152,none,Young,Young,04/01/2024,,3,2,1,,,,,,,,,,,,,,,,,
169,150,none,Young,Young,03/26/2024,,1,2,,,,,,,,,,,,,,,,,,
170,175,none,Young,Young,03/25/2024,,1,,,,,,,,,,,,,,,,,,,
171,172,none,Young,Young,04/02/2024,,2,,,,,,,,,,,,,,,,,,,
172,153,none,Young,Young,03/11/2024,,1,,,,,,,,,,,,,,,,,,,
173,102,none,Young,Young,04/25/2024,,2,9,11,11,9,12,11,3,7,4,13,14,7,10,,,,,,
174,133,none,Young,Young,04/04/2024,,4,1,3,,,,,,,,,,,,,,,,,
175,,none,Young,Young,,,,,,,,,,,,,,,,,,,,,,
176,,none,Young,Young,,,,,,,,,,,,,,,,,,,,,,
177,,none,Young,Young,,,,,,,,,,,,,,,,,,,,,,
178,,none,Young,Young,,,,,,,,,,,,,,,,,,,,,,
179,,none,Young,Young,,,,,,,,,,,,,,,,,,,,,,
180,,none,Young,Young,,,,,,,,,,,,,,,,,,,,,,
181,135,none,Old,Old,03/17/2024,,2,3,3,2,1,,,,,,,,,,,,,,,
182,143,none,Old,Old,03/18/2024,,2,3,4,4,,,,,,,,,,,,,,,,
183,152,none,Old,Old,03/25/2024,,1,3,2,3,5,1,,,,,,,,,,,,,,
184,141,none,Old,Old,03/30/2024,,2,3,1,4,5,,,,,,,,,,,,,,,
185,150,none,Old,Old,04/17/2024,,2,2,2,4,4,4,6,4,3,7,5,12,7,10,10,5,,,,
186,133,none,Old,Old,03/17/2024,,4,2,6,,,,,,,,,,,,,,,,,
187,101,none,Old,Old,03/16/2024,,1,3,2,6,,,,,,,,,,,,,,,,
188,147,none,Old,Old,04/25/2024,,0,3,2,6,3,5,7,7,4,8,8,7,4,9,6,7,6,4,,
189,149,none,Old,Old,03/22/2024,,2,4,1,4,3,14,3,,,,,,,,,,,,,
190,186,none,Old,Old,02/14/2024,,2,4,3,5,4,2,1,,,,,,,,,,,,,
191,,none,Old,Old,,,,,,,,,,,,,,,,,,,,,,
192,,none,Old,Old,,,,,,,,,,,,,,,,,,,,,,
193,,none,Old,Old,,,,,,,,,,,,,,,,,,,,,,
194,,none,Old,Old,,,,,,,,,,,,,,,,,,,,,,
195,,none,Old,Old,,,,,,,,,,,,,,,,,,,,,,
196,,none,Old,Old,,,,,,,,,,,,,,,,,,,,,,
197,105,none,Old,Young,03/31/2024,,1,5,4,5,4,3,5,2,,,,,,,,,,,,
198,138,none,Old,Young,,CENS 4/27/24,1,5,4,2,7,7,7,2,4,6,9,7,12,11,5,3,,,,
199,141,none,Old,Young,,CENS 4/27/24,3,5,2,4,4,16,3,10,8,4,11,1,9,20,11,10,12,,,
200,134,none,Old,Young,04/25/2024,,3,5,2,6,12,10,9,9,7,15,9,8,10,9,8,3,,,,
201,155,none,Old,Young,04/22/2024,,1,5,2,4,2,4,1,6,,,,,,,,,,,,
202,159,none,Old,Young,,CENS 4/27/24,2,6,4,6,12,11,11,7,5,9,8,22,,,,,,,,
203,181,none,Old,Young,04/13/2024,,4,8,4,7,1,4,16,5,,,,,,,,,,,,
204,185,none,Old,Young,03/24/2024,,4,4,6,2,,,,,,,,,,,,,,,,
205,122,none,Old,Young,,CENS 4/27/24,2,7,2,7,4,16,9,11,9,11,13,12,8,16,14,11,5,,,
206,147,none,Old,Young,04/24/2024,,1,6,3,3,9,9,15,6,11,13,15,7,,,,,,,,
207,,none,Old,Young,,,,,,,,,,,,,,,,,,,,,,
208,,none,Old,Young,,,,,,,,,,,,,,,,,,,,,,
209,,none,Old,Young,,,,,,,,,,,,,,,,,,,,,,
210,,none,Old,Young,,,,,,,,,,,,,,,,,,,,,,
211,,none,Old,Young,,,,,,,,,,,,,,,,,,,,,,
212,,none,Old,Young,,,,,,,,,,,,,,,,,,,,,,
213,141,none,Young,Old,03/15/2024,,2,,,,,,,,,,,,,,,,,,,
214,136,none,Young,Old,04/19/2024,,2,8,1,3,,,,,,,,,,,,,,,,
215,130,none,Young,Old,03/15/2024,,4,2,1,3,5,,,,,,,,,,,,,,,
216,138,none,Young,Old,03/14/2024,,2,4,,,,,,,,,,,,,,,,,,
217,181,none,Young,Old,,CENS 4/27/24,3,4,3,8,6,5,25,17,4,10,9,10,17,3,,,,,,
218,185,none,Young,Old,03/28/2024,,3,,,,,,,,,,,,,,,,,,,
219,150,none,Young,Old,03/16/2024,,2,5,1,,,,,,,,,,,,,,,,,
220,122,none,Young,Old,03/13/2024,,3,4,,,,,,,,,,,,,,,,,,
221,156,none,Young,Old,03/24/2024,,4,2,9,,,,,,,,,,,,,,,,,
222,149,none,Young,Old,03/13/2024,,3,1,,,,,,,,,,,,,,,,,,
223,,none,Young,Old,,,,,,,,,,,,,,,,,,,,,,
224,,none,Young,Old,,,,,,,,,,,,,,,,,,,,,,
225,,none,Young,Old,,,,,,,,,,,,,,,,,,,,,,
226,,none,Young,Old,,,,,,,,,,,,,,,,,,,,,,
227,,none,Young,Old,,,,,,,,,,,,,,,,,,,,,,
228,,none,Young,Old,,,,,,,,,,,,,,,,,,,,,,
229,512,Metsch,,Young,03/13/2024,,2,6,2,,,,,,,,,,,,,,,,,
230,515,Metsch,,Young,04/17/2024,,2,5,4,5,3,4,4,7,6,7,6,2,10,4,8,7,9,,,
231,201,Metsch,,Young,,CENS 4/27/24,3,4,2,7,2,5,10,11,7,7,6,8,6,6,5,6,15,2,,
232,756,Metsch,,Young,04/25/2024,,0,6,4,6,4,3,13,8,9,13,8,9,5,7,3,7,13,,,
233,757,Metsch,,Young,04/25/2024,,2,5,5,5,3,3,11,14,9,9,7,4,3,6,15,9,10,9,,
234,758,Metsch,,Young,04/25/2024,,2,4,4,7,4,1,8,9,9,11,9,8,10,26,8,9,11,,,
235,759,Metsch,,Young,03/07/2024,,2,3,4,,,,,,,,,,,,,,,,,
236,760,Metsch,,Young,03/12/2024,,1,5,,,,,,,,,,,,,,,,,,
237,761,Metsch,,Young,04/25/2024,,6,2,2,2,1,7,8,9,9,8,1,10,9,3,13,5,7,13,,
238,762,Metsch,,Young,02/29/2024,,4,0,,,,,,,,,,,,,,,,,,
239,205,Metsch,,Young,04/09/2024,,4,7,3,4,2,4,7,4,5,5,5,2,5,,,,,,,
240,207,Metsch,,Young,03/08/2024,,1,6,4,1,,,,,,,,,,,,,,,,
241,291,Metsch,,Young,,CENS 4/27/24,2,5,1,5,2,11,18,7,6,6,4,4,4,12,12,10,7,7,,
242,503,Metsch,,Young,,CENS 4/27/24,3,6,4,4,4,6,8,8,11,10,1,2,5,5,3,11,12,4,16,
243,506,Metsch,,Young,03/26/2024,,3,6,3,5,5,10,8,12,16,6,,,,,,,,,,
244,509,Metsch,,Young,,CENS 4/27/24,4,5,4,3,6,8,3,6,7,4,2,12,8,7,17,12,4,,,
245,205,Metsch,,Old,,CENS 4/27/24,4,4,2,5,5,4,6,3,5,7,4,8,,,,,,,,
246,221,Metsch,,Old,03/14/2024,,2,6,4,1,4,1,,,,,,,,,,,,,,
247,219,Metsch,,Old,04/22/2024,,2,2,4,2,6,8,1,6,8,3,7,7,4,6,,,,,,
248,503,Metsch,,Old,04/16/2024,,4,1,1,4,3,5,6,4,1,7,2,12,5,5,1,,,,,
249,506,Metsch,,Old,03/18/2024,,3,5,6,1,4,,,,,,,,,,,,,,,
250,509,Metsch,,Old,03/17/2024,,3,5,3,2,3,,,,,,,,,,,,,,,
251,512,Metsch,,Old,02/21/2024,,,,,,,,,,,,,,,,,,,,,
252,515,Metsch,,Old,03/16/2024,,2,3,3,2,1,,,,,,,,,,,,,,,
253,233,Metsch,,Old,03/18/2024,,2,2,4,4,3,8,4,1,5,12,6,,,,,,,,,
254,529,Metsch,,Old,04/17/2024,,1,2,3,5,7,,,,,,,,,,,,,,,
255,524,Metsch,,Old,03/25/2024,,2,4,2,5,,,,,,,,,,,,,,,,
256,525,Metsch,,Old,03/18/2024,,2,3,2,7,,,,,,,,,,,,,,,,
257,532,Metsch,,Old,03/19/2024,,1,5,2,6,,,,,,,,,,,,,,,,
258,232,Metsch,,Old,03/19/2024,,0,4,3,6,6,9,2,8,6,7,7,,,,,,,,,
259,233,Metsch,,Old,04/22/2024,,1,3,1,2,2,6,4,6,4,12,4,4,5,14,11,,,,,
260,211,Metsch,,Old,04/25/2024,,1,5,1,6,3,6,12,8,14,9,5,15,10,9,11,,,,,
261,206,Metsch,Young,,03/31/2024,,4,4,,,,,,,,,,,,,,,,,,
262,221,Metsch,Young,,04/25/2024,,2,3,11,6,5,8,7,8,4,4,8,6,9,6,,,,,,
263,500,Metsch,Young,,04/01/2024,,4,,,,,,,,,,,,,,,,,,,
264,504,Metsch,Young,,02/21/2024,,,,,,,,,,,,,,,,,,,,,
265,506,Metsch,Young,,03/30/2024,,2,7,,,,,,,,,,,,,,,,,,
266,510,Metsch,Young,,04/25/2024,,4,6,5,2,6,9,7,10,12,8,10,1,10,7,,,,,,
267,512,Metsch,Young,,03/30/2024,,2,4,14,1,,,,,,,,,,,,,,,,
268,515,Metsch,Young,,03/25/2024,,4,7,,,,,,,,,,,,,,,,,,
269,517,Metsch,Young,,03/27/2024,,5,,,,,,,,,,,,,,,,,,,
270,529,Metsch,Young,,,CENS 4/27/24,4,3,10,7,4,6,4,4,4,14,2,7,4,5,6,10,,,,
271,524,Metsch,Young,,03/21/2024,,3,,,,,,,,,,,,,,,,,,,
272,525,Metsch,Young,,04/26/2024,,4,4,6,3,14,9,5,1,,,,,,,,,,,,
273,532,Metsch,Young,,03/27/2024,,4,4,9,1,8,,,,,,,,,,,,,,,
274,232,Metsch,Young,,03/29/2024,,2,,,,,,,,,,,,,,,,,,,
275,211,Metsch,Young,,03/24/2024,,3,,,,,,,,,,,,,,,,,,,
276,204,Metsch,Young,,03/20/2024,,4,12,,,,,,,,,,,,,,,,,,
277,206,Metsch,Old,,,CENS 4/27/24,3,2,1,4,5,4,8,13,11,7,18,1,2,4,7,22,9,11,,
278,221,Metsch,Old,,04/15/2024,,3,4,1,2,3,1,7,11,10,4,11,4,10,6,,,,,,
279,500,Metsch,Old,,04/11/2024,,2,5,6,5,3,6,8,10,7,1,16,11,10,13,,,,,,
280,504,Metsch,Old,,,CENS 4/27/24,4,2,2,2,6,7,3,8,5,7,10,9,22,11,4,7,,,,
281,507,Metsch,Old,,04/22/2024,,3,2,2,2,5,13,4,7,4,10,11,4,12,7,11,6,,,,
282,510,Metsch,Old,,04/26/2024,,1,3,1,3,4,15,8,9,6,4,8,6,9,10,5,11,,,,
283,513,Metsch,Old,,03/26/2024,,4,2,4,,,,,,,,,,,,,,,,,
284,515,Metsch,Old,,,CENS 4/27/24,3,2,1,15,10,10,3,3,5,9,10,12,16,,,,,,,
285,533,Metsch,Old,,04/06/2024,,2,4,2,6,4,4,10,7,7,8,7,,,,,,,,,
286,529,Metsch,Old,,,CENS 4/27/24,1,5,3,5,17,5,6,8,12,18,2,10,10,12,9,6,,,,
287,524,Metsch,Old,,04/07/2024,,1,4,2,6,3,5,,,,,,,,,,,,,,
288,531,Metsch,Old,,04/26/2024,,2,6,2,7,6,2,7,4,15,5,1,6,11,12,16,14,9,12,,
289,534,Metsch,Old,,04/25/2024,,1,4,2,5,1,3,4,7,9,12,1,5,17,17,12,16,15,7,5,
290,223,Metsch,Old,,,CENS 4/27/24,1,4,2,6,4,7,10,5,5,12,3,11,22,,,,,,,
291,518,Metsch,Old,,04/22/2024,,1,0,6,5,4,6,6,5,12,1,14,4,16,8,3,,,,,
292,520,Metsch,Old,,04/24/2024,,0,3,2,2,5,7,9,3,9,6,6,2,11,12,10,6,,,,
293,237,Metsch,Young,Young,03/25/2024,,4,8,,,,,,,,,,,,,,,,,,
294,221,Metsch,Young,Young,03/26/2024,,2,,,,,,,,,,,,,,,,,,,
295,501,Metsch,Young,Young,03/29/2024,,2,4,,,,,,,,,,,,,,,,,,
296,505,Metsch,Young,Young,03/29/2024,empty 3/14/24,3,,,,,,,,,,,,,,,,,,,
297,507,Metsch,Young,Young,03/29/2024,,3,3,,,,,,,,,,,,,,,,,,
298,510,Metsch,Young,Young,03/10/2024,,2,,,,,,,,,,,,,,,,,,,
299,513,Metsch,Young,Young,04/27/2024,,0,5,4,14,6,7,7,7,7,17,7,4,7,10,8,4,1,,,
